,id,price,qty,qty_1,qty_2,quoteQty,quoteQty_1,quoteQty_2,isBuyerMaker,time
0,24905386,0.77,64.93,64.9,65.0,49.9961,50.0,50.0,False,1718068068648
1,24905387,0.77,219.92,219.9,220.0,169.3384,169.34,169.0,False,1718068069907
2,24905388,0.77,1129.64,1129.6,1130.0,869.8228,869.82,870.0,False,1718068074587
3,24905389,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,False,1718068074587
4,24905390,0.77,319.66,319.7,320.0,246.1382,246.14,246.0,False,1718068074587
5,24905391,0.77,2259.08,2259.1,2259.0,1739.4916,1739.49,1739.0,False,1718068074587
6,24905392,0.77,116.9,116.9,117.0,90.013,90.01,90.0,False,1718068074587
7,24905393,0.77,410.83,410.8,411.0,316.3391,316.34,316.0,False,1718068074587
8,24905394,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068074587
9,24905395,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068074587
10,24905396,0.77,38.92,38.9,39.0,29.9684,29.97,30.0,False,1718068074587
11,24905397,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068074587
12,24905398,0.77,77.92,77.9,78.0,59.9984,60.0,60.0,False,1718068074587
13,24905399,0.77,146.42,146.4,146.0,112.7434,112.74,113.0,False,1718068074587
14,24905400,0.77,1871.0,1871.0,1871.0,1440.67,1440.67,1441.0,False,1718068074590
15,24905401,0.77,1231.02,1231.0,1231.0,947.8854,947.89,948.0,False,1718068074591
16,24905402,0.77,29.4,29.4,29.0,22.638,22.64,23.0,False,1718068074591
17,24905403,0.77,246.0,246.0,246.0,189.42,189.42,189.0,True,1718068081196
18,24905404,0.77,281.73,281.7,282.0,216.9321,216.93,217.0,True,1718068081196
19,24905405,0.77,159.83,159.8,160.0,123.0691,123.07,123.0,True,1718068081196
20,24905406,0.77,2259.08,2259.1,2259.0,1739.4916,1739.49,1739.0,True,1718068081196
21,24905407,0.77,986.18,986.2,986.0,759.3586,759.36,759.0,True,1718068081196
22,24905408,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,True,1718068081196
23,24905409,0.77,1183.36,1183.4,1183.0,911.1872,911.19,911.0,True,1718068081196
24,24905410,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,True,1718068081196
25,24905411,0.77,1240.79,1240.8,1241.0,955.4083,955.41,955.0,True,1718068081196
26,24905412,0.77,39.34,39.3,39.0,30.2918,30.29,30.0,True,1718068081196
27,24905413,0.77,1222.36,1222.4,1222.0,941.2172,941.22,941.0,True,1718068081201
28,24905414,0.77,1361.64,1361.6,1362.0,1048.4628,1048.46,1048.0,True,1718068081201
29,24905415,0.77,1886.8,1886.8,1887.0,1452.836,1452.84,1453.0,True,1718068081202
30,24905416,0.77,53.35,53.4,53.0,41.0795,41.08,41.0,True,1718068081202
31,24905417,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,False,1718068094257
32,24905418,0.77,2244.28,2244.3,2244.0,1728.0956,1728.1,1728.0,False,1718068094257
33,24905419,0.77,14.8,14.8,15.0,11.396,11.4,11.0,False,1718068094258
34,24905420,0.77,986.18,986.2,986.0,759.3586,759.36,759.0,False,1718068094258
35,24905421,0.77,527.73,527.7,528.0,406.3521,406.35,406.0,False,1718068094258
36,24905422,0.77,1183.36,1183.4,1183.0,911.1872,911.19,911.0,False,1718068094258
37,24905423,0.77,15.23,15.2,15.0,11.7271,11.73,12.0,False,1718068094258
38,24905424,0.77,239.74,239.7,240.0,184.5998,184.6,185.0,False,1718068094258
39,24905425,0.77,155.94,155.9,156.0,120.0738,120.07,120.0,False,1718068094258
40,24905426,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068094258
41,24905427,0.77,28.0,28.0,28.0,21.56,21.56,22.0,False,1718068094258
42,24905428,0.77,389.35,389.4,389.0,299.7995,299.8,300.0,False,1718068094258
43,24905429,0.77,1324.7,1324.7,1325.0,1020.019,1020.02,1020.0,False,1718068094258
44,24905430,0.77,1923.74,1923.7,1924.0,1481.2798,1481.28,1481.0,False,1718068094261
45,24905431,0.77,763.95,764.0,764.0,588.2415,588.24,588.0,False,1718068094261
46,24905432,0.77,8.09,8.1,8.0,6.2293,6.23,6.0,False,1718068094261
47,24905433,0.77,373.8,373.8,374.0,287.826,287.83,288.0,False,1718068094261
48,24905434,0.77,1205.09,1205.1,1205.0,927.9193,927.92,928.0,True,1718068095890
49,24905435,0.77,520.0,520.0,520.0,400.4,400.4,400.0,True,1718068104287
50,24905436,0.77,449.0,449.0,449.0,345.73,345.73,346.0,True,1718068111358
51,24905437,0.771,11.51,11.5,12.0,8.87421,8.87,9.0,False,1718068111956
52,24905438,0.77,3411.14,3411.1,3411.0,2626.5778,2626.58,2627.0,True,1718068115422
53,24905439,0.77,1131.11,1131.1,1131.0,870.9547,870.95,871.0,True,1718068115422
54,24905440,0.77,225.22,225.2,225.0,173.4194,173.42,173.0,True,1718068115422
55,24905441,0.77,119.87,119.9,120.0,92.2999,92.3,92.0,True,1718068115422
56,24905442,0.77,1605.45,1605.4,1605.0,1236.1965,1236.2,1236.0,True,1718068115422
57,24905443,0.77,653.63,653.6,654.0,503.2951,503.3,503.0,True,1718068117473
58,24905444,0.77,1183.36,1183.4,1183.0,911.1872,911.19,911.0,True,1718068117473
59,24905445,0.77,527.73,527.7,528.0,406.3521,406.35,406.0,True,1718068117473
60,24905446,0.77,1000.0,1000.0,1000.0,770.0,770.0,770.0,True,1718068117473
61,24905447,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,True,1718068117473
62,24905448,0.77,986.18,986.2,986.0,759.3586,759.36,759.0,True,1718068117473
63,24905449,0.77,1304.0,1304.0,1304.0,1004.08,1004.08,1004.0,True,1718068117473
64,24905450,0.771,154.77,154.8,155.0,119.32767,119.33,119.0,False,1718068117565
65,24905451,0.77,129.88,129.9,130.0,100.0076,100.01,100.0,True,1718068119491
66,24905452,0.77,129.88,129.9,130.0,100.0076,100.01,100.0,True,1718068121542
67,24905453,0.77,129.88,129.9,130.0,100.0076,100.01,100.0,True,1718068123585
68,24905454,0.771,7.97,8.0,8.0,6.14487,6.14,6.0,False,1718068132141
69,24905455,0.771,47.51,47.5,48.0,36.63021,36.63,37.0,False,1718068140342
70,24905456,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,True,1718068140890
71,24905457,0.77,830.19,830.2,830.0,639.2463,639.25,639.0,True,1718068140890
72,24905458,0.77,74.87,74.9,75.0,57.6499,57.65,58.0,True,1718068140890
73,24905459,0.77,360.26,360.3,360.0,277.4002,277.4,277.0,True,1718068140890
74,24905460,0.77,766.36,766.4,766.0,590.0972,590.1,590.0,True,1718068140890
75,24905461,0.77,616.52,616.5,617.0,474.7204,474.72,475.0,True,1718068140890
76,24905462,0.77,878.31,878.3,878.0,676.2987,676.3,676.0,True,1718068140890
77,24905463,0.77,1457.47,1457.5,1457.0,1122.2519,1122.25,1122.0,True,1718068140890
78,24905464,0.77,1094.48,1094.5,1094.0,842.7496,842.75,843.0,True,1718068140890
79,24905465,0.77,1662.19,1662.2,1662.0,1279.8863,1279.89,1280.0,True,1718068140890
80,24905466,0.77,1000.0,1000.0,1000.0,770.0,770.0,770.0,True,1718068140893
81,24905467,0.77,255.12,255.1,255.0,196.4424,196.44,196.0,True,1718068140894
82,24905468,0.77,500.0,500.0,500.0,385.0,385.0,385.0,True,1718068140894
83,24905469,0.77,100.0,100.0,100.0,77.0,77.0,77.0,True,1718068140894
84,24905470,0.77,10.84,10.8,11.0,8.3468,8.35,8.0,True,1718068140894
85,24905471,0.77,20.0,20.0,20.0,15.4,15.4,15.0,True,1718068140894
86,24905472,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,True,1718068140894
87,24905473,0.77,1298.7,1298.7,1299.0,999.999,1000.0,1000.0,True,1718068140894
88,24905474,0.77,655.42,655.4,655.0,504.6734,504.67,505.0,True,1718068140894
89,24905475,0.77,7.48,7.5,7.0,5.7596,5.76,6.0,True,1718068140894
90,24905476,0.77,77.92,77.9,78.0,59.9984,60.0,60.0,False,1718068140936
91,24905477,0.77,27.52,27.5,28.0,21.1904,21.19,21.0,False,1718068146720
92,24905478,0.77,20.87,20.9,21.0,16.0699,16.07,16.0,False,1718068148966
93,24905479,0.77,25.0,25.0,25.0,19.25,19.25,19.0,False,1718068149013
94,24905480,0.77,64.93,64.9,65.0,49.9961,50.0,50.0,False,1718068156989
95,24905481,0.77,71.81,71.8,72.0,55.2937,55.29,55.0,False,1718068157565
96,24905482,0.77,82.53,82.5,83.0,63.5481,63.55,64.0,False,1718068161842
97,24905483,0.77,100.0,100.0,100.0,77.0,77.0,77.0,False,1718068180743
98,24905484,0.769,114.45,114.4,114.0,88.01205,88.01,88.0,True,1718068184664
99,24905485,0.77,45.45,45.4,45.0,34.9965,35.0,35.0,False,1718068188247
100,24905486,0.77,132.72,132.7,133.0,102.1944,102.19,102.0,False,1718068199037
101,24905487,0.769,97.4,97.4,97.0,74.9006,74.9,75.0,True,1718068202141
102,24905488,0.769,328.85,328.8,329.0,252.88565,252.89,253.0,True,1718068203334
103,24905489,0.769,31.0,31.0,31.0,23.839,23.84,24.0,True,1718068211224
104,24905490,0.77,1129.64,1129.6,1130.0,869.8228,869.82,870.0,False,1718068217430
105,24905491,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,False,1718068217430
106,24905492,0.77,527.73,527.7,528.0,406.3521,406.35,406.0,False,1718068217430
107,24905493,0.77,574.38,574.4,574.0,442.2726,442.27,442.0,False,1718068217430
108,24905494,0.77,1684.7,1684.7,1685.0,1297.219,1297.22,1297.0,False,1718068217432
109,24905495,0.77,292.42,292.4,292.0,225.1634,225.16,225.0,False,1718068217432
110,24905496,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068217432
111,24905497,0.77,10.84,10.8,11.0,8.3468,8.35,8.0,False,1718068217432
112,24905498,0.77,3248.25,3248.2,3248.0,2501.1525,2501.15,2501.0,False,1718068217432
113,24905499,0.77,625.39,625.4,625.0,481.5503,481.55,482.0,False,1718068217432
114,24905500,0.77,519.48,519.5,519.0,399.9996,400.0,400.0,False,1718068217432
115,24905501,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068217432
116,24905502,0.77,1268.28,1268.3,1268.0,976.5756,976.58,977.0,False,1718068217432
117,24905503,0.77,2584.94,2584.9,2585.0,1990.4038,1990.4,1990.0,False,1718068217434
118,24905504,0.77,89.72,89.7,90.0,69.0844,69.08,69.0,False,1718068218992
119,24905505,0.77,52.27,52.3,52.0,40.2479,40.25,40.0,False,1718068218992
120,24905506,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068218992
121,24905507,0.77,1131.11,1131.1,1131.0,870.9547,870.95,871.0,False,1718068218992
122,24905508,0.77,2513.23,2513.2,2513.0,1935.1871,1935.19,1935.0,False,1718068218992
123,24905509,0.77,735.02,735.0,735.0,565.9654,565.97,566.0,False,1718068219001
124,24905510,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068219001
125,24905511,0.77,1131.11,1131.1,1131.0,870.9547,870.95,871.0,False,1718068219001
126,24905512,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068219001
127,24905513,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068219001
128,24905514,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068219001
129,24905515,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068219001
130,24905516,0.77,89.67,89.7,90.0,69.0459,69.05,69.0,False,1718068219001
131,24905517,0.77,34.29,34.3,34.0,26.4033,26.4,26.0,False,1718068219001
132,24905518,0.77,55.38,55.4,55.0,42.6426,42.64,43.0,False,1718068219099
133,24905519,0.77,50.62,50.6,51.0,38.9774,38.98,39.0,False,1718068219099
134,24905520,0.77,39.0,39.0,39.0,30.03,30.03,30.0,False,1718068219102
135,24905521,0.77,3472.18,3472.2,3472.0,2673.5786,2673.58,2674.0,True,1718068236835
136,24905522,0.77,1131.11,1131.1,1131.0,870.9547,870.95,871.0,True,1718068236835
137,24905523,0.77,318.75,318.8,319.0,245.4375,245.44,245.0,True,1718068236835
138,24905524,0.77,775.5,775.5,776.0,597.135,597.14,597.0,True,1718068236835
139,24905525,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,True,1718068236835
140,24905526,0.77,2048.24,2048.2,2048.0,1577.1448,1577.14,1577.0,True,1718068236835
141,24905527,0.77,606.69,606.7,607.0,467.1513,467.15,467.0,True,1718068236835
142,24905528,0.77,10.86,10.9,11.0,8.3622,8.36,8.0,True,1718068236835
143,24905529,0.77,3248.24,3248.2,3248.0,2501.1448,2501.14,2501.0,True,1718068236835
144,24905530,0.77,3.46,3.5,3.0,2.6642,2.66,3.0,True,1718068236835
145,24905531,0.77,6.26,6.3,6.0,4.8202,4.82,5.0,True,1718068236839
146,24905532,0.77,124.0,124.0,124.0,95.48,95.48,95.0,True,1718068236839
147,24905533,0.77,625.39,625.4,625.0,481.5503,481.55,482.0,True,1718068236839
148,24905534,0.77,447.98,448.0,448.0,344.9446,344.94,345.0,True,1718068236839
149,24905535,0.77,22.41,22.4,22.0,17.2557,17.26,17.0,True,1718068236839
150,24905536,0.77,1948.05,1948.0,1948.0,1499.9985,1500.0,1500.0,False,1718068241385
151,24905537,0.77,1415.58,1415.6,1416.0,1089.9966,1090.0,1090.0,False,1718068245071
152,24905538,0.77,761.21,761.2,761.0,586.1317,586.13,586.0,False,1718068252391
153,24905539,0.77,45.45,45.4,45.0,34.9965,35.0,35.0,False,1718068252651
154,24905540,0.77,986.18,986.2,986.0,759.3586,759.36,759.0,False,1718068258255
155,24905541,0.77,567.27,567.3,567.0,436.7979,436.8,437.0,False,1718068258255
156,24905542,0.77,159.37,159.4,159.0,122.7149,122.71,123.0,False,1718068258255
157,24905543,0.77,146.21,146.2,146.0,112.5817,112.58,113.0,False,1718068258255
158,24905544,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068258255
159,24905545,0.77,625.39,625.4,625.0,481.5503,481.55,482.0,False,1718068258255
160,24905546,0.77,10.86,10.9,11.0,8.3622,8.36,8.0,False,1718068258255
161,24905547,0.77,3248.21,3248.2,3248.0,2501.1217,2501.12,2501.0,False,1718068258255
162,24905548,0.77,10.31,10.3,10.0,7.9387,7.94,8.0,False,1718068258255
163,24905549,0.77,10.67,10.7,11.0,8.2159,8.22,8.0,False,1718068258255
164,24905550,0.77,55.03,55.0,55.0,42.3731,42.37,42.0,False,1718068258255
165,24905551,0.77,23.8,23.8,24.0,18.326,18.33,18.0,False,1718068258255
166,24905552,0.77,1000.0,1000.0,1000.0,770.0,770.0,770.0,True,1718068267550
167,24905553,0.77,129.64,129.6,130.0,99.8228,99.82,100.0,True,1718068267554
168,24905554,0.77,527.73,527.7,528.0,406.3521,406.35,406.0,True,1718068267554
169,24905555,0.77,2259.08,2259.1,2259.0,1739.4916,1739.49,1739.0,True,1718068267554
170,24905556,0.77,629.72,629.7,630.0,484.8844,484.88,485.0,True,1718068267554
171,24905557,0.77,1561.97,1562.0,1562.0,1202.7169,1202.72,1203.0,True,1718068267554
172,24905558,0.77,748.13,748.1,748.0,576.0601,576.06,576.0,True,1718068267554
173,24905559,0.77,797.77,797.8,798.0,614.2829,614.28,614.0,True,1718068267556
174,24905560,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,True,1718068267556
175,24905561,0.77,78.08,78.1,78.0,60.1216,60.12,60.0,True,1718068267556
176,24905562,0.77,1695.73,1695.7,1696.0,1305.7121,1305.71,1306.0,True,1718068267556
177,24905563,0.77,1000.0,1000.0,1000.0,770.0,770.0,770.0,True,1718068267559
178,24905564,0.77,552.48,552.5,552.0,425.4096,425.41,425.0,True,1718068267562
179,24905565,0.77,25.0,25.0,25.0,19.25,19.25,19.0,True,1718068267562
180,24905566,0.77,12.98,13.0,13.0,9.9946,9.99,10.0,False,1718068269913
181,24905567,0.77,2259.08,2259.1,2259.0,1739.4916,1739.49,1739.0,False,1718068270730
182,24905568,0.77,152.79,152.8,153.0,117.6483,117.65,118.0,False,1718068270730
183,24905569,0.77,1527.34,1527.3,1527.0,1176.0518,1176.05,1176.0,False,1718068270730
184,24905570,0.77,155.94,155.9,156.0,120.0738,120.07,120.0,False,1718068270730
185,24905571,0.77,15.23,15.2,15.0,11.7271,11.73,12.0,False,1718068270730
186,24905572,0.77,1079.72,1079.7,1080.0,831.3844,831.38,831.0,False,1718068270730
187,24905573,0.77,204.9,204.9,205.0,157.773,157.77,158.0,False,1718068270730
188,24905574,0.77,12.97,13.0,13.0,9.9869,9.99,10.0,False,1718068270734
189,24905575,0.77,771.64,771.6,772.0,594.1628,594.16,594.0,False,1718068270734
190,24905576,0.77,3248.2,3248.2,3248.0,2501.114,2501.11,2501.0,False,1718068270734
191,24905577,0.77,40.8,40.8,41.0,31.416,31.42,31.0,True,1718068295597
192,24905578,0.77,35.59,35.6,36.0,27.4043,27.4,27.0,True,1718068302086
193,24905579,0.77,44.09,44.1,44.0,33.9493,33.95,34.0,True,1718068302086
194,24905580,0.771,1128.18,1128.2,1128.0,869.82678,869.83,870.0,False,1718068338687
195,24905581,0.771,707.46,707.5,707.0,545.45166,545.45,545.0,False,1718068338687
196,24905582,0.771,557.95,558.0,558.0,430.17945,430.18,430.0,False,1718068338690
197,24905583,0.771,625.39,625.4,625.0,482.17569,482.18,482.0,False,1718068338690
198,24905584,0.771,648.56,648.6,649.0,500.03976,500.04,500.0,False,1718068338690
199,24905585,0.771,389.35,389.4,389.0,300.18885,300.19,300.0,False,1718068338690
200,24905586,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
201,24905587,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
202,24905588,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
203,24905589,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
204,24905590,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
205,24905591,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
206,24905592,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
207,24905593,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
208,24905594,0.771,87.15,87.2,87.0,67.19265,67.19,67.0,False,1718068338690
209,24905595,0.771,87.06,87.1,87.0,67.12326,67.12,67.0,False,1718068338690
210,24905596,0.771,1129.64,1129.6,1130.0,870.95244,870.95,871.0,True,1718068340544
211,24905597,0.771,194.28,194.3,194.0,149.78988,149.79,150.0,True,1718068340544
212,24905598,0.771,1128.18,1128.2,1128.0,869.82678,869.83,870.0,True,1718068340544
213,24905599,0.771,629.72,629.7,630.0,485.51412,485.51,486.0,True,1718068340544
214,24905600,0.771,1137.65,1137.6,1138.0,877.12815,877.13,877.0,True,1718068340544
215,24905601,0.772,483.1,483.1,483.0,372.9532,372.95,373.0,False,1718068341665
216,24905602,0.772,11.98,12.0,12.0,9.24856,9.25,9.0,False,1718068348550
217,24905603,0.772,39.31,39.3,39.0,30.34732,30.35,30.0,False,1718068358355
218,24905604,0.771,7.02,7.0,7.0,5.41242,5.41,5.0,True,1718068365063
219,24905605,0.772,2019.73,2019.7,2020.0,1559.23156,1559.23,1559.0,False,1718068378267
220,24905606,0.772,480.87,480.9,481.0,371.23164,371.23,371.0,False,1718068378267
221,24905607,0.772,2151.5,2151.5,2152.0,1660.958,1660.96,1661.0,False,1718068378267
222,24905608,0.772,300.51,300.5,301.0,231.99372,231.99,232.0,False,1718068378267
223,24905609,0.772,1393.45,1393.4,1393.0,1075.7434,1075.74,1076.0,False,1718068378267
224,24905610,0.772,10.53,10.5,11.0,8.12916,8.13,8.0,False,1718068380688
225,24905611,0.772,11.51,11.5,12.0,8.88572,8.89,9.0,False,1718068380688
226,24905612,0.772,777.2,777.2,777.0,599.9984,600.0,600.0,False,1718068380688
227,24905613,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068380688
228,24905614,0.772,31.8,31.8,32.0,24.5496,24.55,25.0,False,1718068380688
229,24905615,0.772,1018.37,1018.4,1018.0,786.18164,786.18,786.0,False,1718068380688
230,24905616,0.772,500.0,500.0,500.0,386.0,386.0,386.0,False,1718068381269
231,24905617,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
232,24905618,0.772,1128.18,1128.2,1128.0,870.95496,870.95,871.0,False,1718068381270
233,24905619,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
234,24905620,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
235,24905621,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
236,24905622,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
237,24905623,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
238,24905624,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
239,24905625,0.772,89.47,89.5,89.0,69.07084,69.07,69.0,False,1718068381270
240,24905626,0.772,89.44,89.4,89.0,69.04768,69.05,69.0,False,1718068381270
241,24905627,0.773,3142.05,3142.0,3142.0,2428.80465,2428.8,2429.0,False,1718068386161
242,24905628,0.773,10.0,10.0,10.0,7.73,7.73,8.0,False,1718068391450
243,24905629,0.773,394.06,394.1,394.0,304.60838,304.61,305.0,False,1718068391737
244,24905630,0.773,8.57,8.6,9.0,6.62461,6.62,7.0,False,1718068394373
245,24905631,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
246,24905632,0.773,1128.18,1128.2,1128.0,872.08314,872.08,872.0,False,1718068394373
247,24905633,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
248,24905634,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
249,24905635,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
250,24905636,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
251,24905637,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
252,24905638,0.773,89.38,89.4,89.0,69.09074,69.09,69.0,False,1718068394373
