quoteQty_2,quoteQty_2
3.0,2
5.0,9
6.0,18
7.0,10
8.0,25
9.0,14
10.0,41
11.0,4
12.0,13
13.0,1
14.0,1
15.0,7
16.0,6
17.0,4
18.0,3
19.0,6
20.0,4
21.0,2
22.0,2
23.0,2
24.0,3
25.0,4
26.0,3
27.0,3
28.0,5
29.0,2
30.0,6
31.0,3
33.0,2
34.0,4
35.0,3
37.0,4
38.0,1
39.0,5
40.0,2
41.0,3
42.0,2
43.0,2
44.0,1
45.0,1
47.0,3
48.0,7
50.0,20
51.0,2
52.0,1
53.0,1
54.0,3
55.0,2
56.0,1
58.0,6
59.0,1
60.0,6
61.0,2
64.0,1
65.0,1
67.0,39
68.0,1
69.0,59
70.0,1
71.0,1
72.0,1
74.0,1
75.0,1
77.0,2
82.0,1
86.0,1
88.0,1
89.0,1
90.0,2
92.0,1
93.0,2
95.0,1
97.0,1
98.0,1
99.0,1
100.0,6
101.0,1
102.0,1
105.0,3
108.0,2
113.0,2
114.0,1
117.0,1
118.0,1
119.0,3
120.0,7
123.0,2
128.0,2
129.0,1
130.0,2
131.0,1
134.0,1
136.0,1
138.0,1
143.0,1
144.0,1
146.0,1
147.0,1
150.0,10
153.0,1
154.0,1
155.0,2
156.0,1
158.0,1
163.0,1
165.0,1
166.0,1
167.0,1
169.0,1
171.0,1
173.0,2
174.0,1
177.0,1
185.0,1
186.0,1
189.0,1
193.0,1
194.0,1
195.0,1
196.0,1
197.0,1
198.0,1
200.0,2
201.0,1
202.0,1
208.0,1
215.0,1
216.0,1
217.0,1
219.0,1
221.0,1
222.0,1
223.0,1
225.0,1
227.0,2
228.0,1
231.0,1
232.0,10
233.0,1
235.0,1
238.0,1
240.0,1
243.0,1
245.0,2
246.0,2
249.0,1
250.0,3
252.0,1
253.0,1
257.0,1
260.0,1
264.0,1
267.0,1
272.0,2
274.0,1
276.0,2
277.0,2
278.0,2
285.0,1
286.0,1
288.0,1
290.0,1
296.0,1
299.0,2
300.0,7
303.0,1
305.0,5
308.0,1
310.0,1
315.0,1
316.0,1
322.0,1
326.0,1
331.0,1
339.0,1
341.0,2
344.0,1
345.0,2
346.0,1
349.0,1
359.0,1
361.0,2
362.0,2
367.0,1
371.0,1
373.0,1
375.0,1
377.0,1
378.0,1
382.0,1
385.0,1
386.0,4
389.0,1
390.0,1
392.0,1
397.0,1
400.0,8
406.0,6
407.0,7
408.0,10
409.0,1
416.0,1
417.0,1
418.0,1
425.0,2
429.0,1
430.0,1
437.0,1
441.0,1
442.0,1
445.0,2
453.0,1
455.0,1
456.0,1
457.0,1
459.0,1
461.0,1
463.0,1
467.0,1
468.0,2
475.0,1
476.0,1
477.0,1
481.0,2
482.0,5
483.0,3
484.0,6
485.0,7
486.0,8
487.0,8
488.0,1
491.0,1
494.0,1
497.0,2
500.0,1
503.0,2
505.0,1
509.0,1
510.0,2
544.0,1
545.0,1
560.0,1
566.0,1
568.0,1
569.0,2
574.0,1
576.0,2
581.0,1
586.0,2
588.0,2
590.0,1
593.0,1
594.0,1
597.0,1
599.0,1
600.0,5
603.0,1
604.0,1
607.0,1
611.0,2
614.0,2
620.0,1
625.0,2
628.0,1
630.0,2
636.0,1
639.0,1
651.0,1
676.0,1
689.0,1
694.0,1
700.0,1
701.0,1
716.0,1
718.0,1
719.0,1
727.0,1
729.0,1
743.0,1
745.0,1
759.0,4
760.0,1
763.0,1
768.0,1
769.0,1
770.0,4
771.0,3
772.0,4
773.0,3
774.0,4
778.0,1
780.0,1
786.0,1
809.0,1
813.0,1
814.0,1
822.0,1
831.0,1
832.0,1
833.0,1
841.0,1
843.0,1
846.0,1
859.0,1
869.0,4
870.0,7
871.0,10
872.0,2
874.0,1
877.0,1
886.0,1
911.0,3
913.0,4
914.0,3
915.0,4
916.0,1
928.0,1
941.0,1
948.0,1
951.0,1
954.0,1
955.0,1
958.0,2
961.0,1
976.0,1
977.0,1
979.0,1
1000.0,3
1002.0,1
1004.0,1
1009.0,1
1020.0,1
1023.0,1
1025.0,1
1026.0,1
1041.0,1
1048.0,1
1076.0,1
1090.0,1
1093.0,1
1101.0,2
1107.0,1
1122.0,1
1151.0,1
1172.0,1
1176.0,1
1192.0,1
1194.0,1
1202.0,1
1203.0,1
1204.0,1
1215.0,1
1222.0,1
1236.0,1
1237.0,3
1254.0,1
1274.0,1
1280.0,1
1282.0,1
1297.0,1
1304.0,1
1306.0,1
1321.0,1
1322.0,1
1329.0,1
1353.0,1
1386.0,1
1434.0,1
1441.0,1
1445.0,1
1453.0,1
1471.0,1
1481.0,1
1487.0,1
1498.0,1
1500.0,1
1504.0,1
1519.0,1
1559.0,1
1577.0,1
1610.0,1
1661.0,1
1669.0,1
1677.0,1
1706.0,1
1727.0,1
1728.0,1
1739.0,5
1744.0,4
1746.0,3
1748.0,1
1749.0,1
1755.0,1
1774.0,1
1779.0,1
1808.0,1
1832.0,1
1882.0,1
1887.0,2
1909.0,1
1935.0,1
1942.0,1
1957.0,1
1977.0,1
1990.0,1
1991.0,1
2066.0,1
2145.0,1
2157.0,1
2199.0,1
2202.0,1
2223.0,1
2252.0,1
2263.0,1
2329.0,1
2359.0,1
2377.0,1
2400.0,1
2429.0,1
2431.0,1
2501.0,14
2516.0,1
2615.0,1
2627.0,1
2674.0,1
2780.0,1
2871.0,1
2996.0,1
3092.0,1
3100.0,1
3177.0,1
3292.0,1
3343.0,1
3792.0,1
4500.0,1
4827.0,1
5638.0,1
5975.0,1
6014.0,1
6417.0,1
6659.0,1
6684.0,2
6693.0,1
6857.0,1
7355.0,1
8642.0,1
